genre,title,content
all_rooms,傷や汚れを確認する,"【準備するもの】

- 携帯電話(カメラ)

入居日当日、荷物搬入前に部屋全体の「傷」や「汚れ」のチェックをして写真に残しておきましょう！

<img src='/assets/know_hows/know_how_1.jpg' alt='傷や汚れの画像' width='200'>

"
all_rooms,害虫駆除をする,"【準備するもの】

- バルサン

入居日当日、荷物搬入前にバルサンを焚きましょう！そうすることで見えないところにいる害虫を駆除することができます。

初期費用に含まれている消毒はバルサンと大きく変わらない上に、消毒料として 1 ~ 2 万円くらいかかってしまいます。
消毒作業は初期費用に含まれていても契約時に相談することで省くことができる場合もあるので、自分でバルサンを焚く場合は費用を抑えることができます。

バルサンには「煙」「水」「霧」の 3 タイプがあります。部屋のサイズや住居形式によって使うタイプを分けましょう。
煙タイプが一番強力なので使用できる場合は煙タイプにしましょう！

また煙タイプを使用する際には、火災報知器カバーが付属しているものを選びしっかりとカバーをつけてからバルサンを焚きましょう。

<img src='/assets/know_hows/know_how_2.jpg' alt='害虫駆除をする' width='200'>

バルサンを焚いた後は必ず掃除をしましょう！
"
all_rooms,掃除をする,"【準備するもの】

- 掃除機
- フローリング用掃除シート、ぞうきんなど

入居日当日、荷物搬入前に部屋の床や壁などの掃除をしましょう！
入居前のクリーニングは部屋の隅々まで掃除してくれるわけではありません。まだ荷物のないうちに掃除を済ませましょう。

<img src='/assets/know_hows/know_how_3.jpg' alt='掃除をする' width='200'>

"
all_rooms,虫対策をする,"【準備するもの】

- 虫コナーズ
- 防虫スプレー

各部屋の窓ガラス・網戸や玄関灯に虫除け対策をしましょう。
スプレータイプの場合、直接殺虫効果があるものを選ぶことで殺虫 & 予防のダブル効果があるのでおすすめです。

<img src='/assets/know_hows/know_how_4.jpg' alt='虫対策をする' width='200'>

"
all_rooms,傷防止対策をする,"【準備するもの】

- 傷防止クッション

家具や家電などを搬入する前に足に傷防止クッションをつけておきましょう！
搬入前に対策しておくことで、万が一の際の傷つきを防止することができます。

また家具・家電以外にも扉や壁などが接触する場所がないかチェックして傷防止クッションをつけておきましょう！

<img src='/assets/know_hows/know_how_5_1.jpg' alt='傷防止対策をする' width='49%'>
<img src='/assets/know_hows/know_how_5_2.jpg' alt='傷防止対策をする' width='49%'>

"
kitchen,換気扇にフィルターをつける,ただいま準備中です。  もうしばらくお待ちください。
kitchen,換気扇フードの上にラップを敷く,ただいま準備中です。  もうしばらくお待ちください。
kitchen,コンロの隙間を埋める,ただいま準備中です。  もうしばらくお待ちください。
kitchen,シンクの撥水コーティングをする,ただいま準備中です。  もうしばらくお待ちください。
kitchen,シンク下の配管の隙間を埋める,ただいま準備中です。  もうしばらくお待ちください。
kitchen,シンク下収納に抗菌シートを敷く,ただいま準備中です。  もうしばらくお待ちください。
kitchen,排水口キャップをステンレスに変更,ただいま準備中です。  もうしばらくお待ちください。
kitchen,排水口のゴミ受けをステンレスに変更,ただいま準備中です。  もうしばらくお待ちください。
kitchen,冷蔵庫下に傷防止シートを敷く,ただいま準備中です。  もうしばらくお待ちください。
kitchen,コーキング部分にマスキングテープを貼る,ただいま準備中です。  もうしばらくお待ちください。
toilet,便器と床の隙間を埋める,ただいま準備中です。  もうしばらくお待ちください。
toilet,換気扇にフィルターをつける,ただいま準備中です。  もうしばらくお待ちください。
toilet,汚れ防止コーティングをする,ただいま準備中です。  もうしばらくお待ちください。
bath,防カビ対策をする,ただいま準備中です。  もうしばらくお待ちください。
bath,換気扇にフィルターをつける,ただいま準備中です。  もうしばらくお待ちください。
bath,鏡の曇り止め対策をする,ただいま準備中です。  もうしばらくお待ちください。
bath,撥水コーティングをする,ただいま準備中です。  もうしばらくお待ちください。
bath,排水口のゴミ受けをステンレスに変更する,ただいま準備中です。  もうしばらくお待ちください。
bath,コーキング部分にマスキングテープを貼る,ただいま準備中です。  もうしばらくお待ちください。
washbasin,洗面台下の配管の隙間を埋める,ただいま準備中です。  もうしばらくお待ちください。
washbasin,撥水コーティングをする,ただいま準備中です。  もうしばらくお待ちください。
washbasin,鏡の曇り止め対策をする,ただいま準備中です。  もうしばらくお待ちください。
washbasin,洗濯機のかさ上げをする,ただいま準備中です。  もうしばらくお待ちください。
washbasin,洗濯機の排水ホースにラップを巻く,ただいま準備中です。  もうしばらくお待ちください。
washbasin,換気扇にフィルターをつける,ただいま準備中です。  もうしばらくお待ちください。
washbasin,マスキングテープでコーキング部分の汚れ防止対策をする,ただいま準備中です。  もうしばらくお待ちください。
balcony,室外機のドレンホースにキャップをつける,ただいま準備中です。  もうしばらくお待ちください。
balcony,室外機の配管と壁の隙間を埋める,ただいま準備中です。  もうしばらくお待ちください。
balcony,雑草対策をする,ただいま準備中です。  もうしばらくお待ちください。
entrance,虫対策をする,ただいま準備中です。  もうしばらくお待ちください。
entrance,シューズボックスにシートを敷く,ただいま準備中です。  もうしばらくお待ちください。
